team,line,p_over,p_under,p_push,total
GB,9.0,0.7502,0.12135,0.12845,1.0
GB,9.5,0.7502,0.2498,0.0,1.0
GB,10.0,0.56675,0.2498,0.18345,1.0
GB,10.5,0.56675,0.43325,0.0,1.0
GB,11.0,0.35675,0.43325,0.21,1.0
GB,11.5,0.35675,0.64325,0.0,1.0
GB,12.0,0.18585,0.64325,0.1709,1.0
GB,12.5,0.18585,0.81415,0.0,1.0
GB,13.0,0.07205,0.81415,0.1138,1.0
GB,13.5,0.07205,0.92795,0.0,1.0
GB,14.0,0.0211,0.92795,0.05095,1.0
GB,14.5,0.0211,0.9789,0.0,1.0
GB,15.0,0.00285,0.9789,0.01825,1.0
GB,15.5,0.00285,0.99715,0.0,1.0
GB,16.0,0.00045,0.99715,0.0024,0.9999999999999999
GB,16.5,0.00045,0.99955,0.0,1.0
HOU,0.5,1.0,0.0,0.0,1.0
HOU,1.0,1.0,0.0,0.0,1.0
HOU,1.5,1.0,0.0,0.0,1.0
HOU,2.0,0.99975,0.0,0.00025,1.0
HOU,2.5,0.99975,0.00025,0.0,1.0
HOU,3.0,0.998,0.00025,0.00175,1.0
HOU,3.5,0.998,0.002,0.0,1.0
HOU,4.0,0.9904,0.002,0.0076,1.0
HOU,4.5,0.9904,0.0096,0.0,1.0
HOU,5.0,0.96415,0.0096,0.02625,1.0
HOU,5.5,0.96415,0.03585,0.0,1.0
HOU,6.0,0.90155,0.03585,0.0626,1.0
HOU,6.5,0.90155,0.09845,0.0,1.0
HOU,7.0,0.785,0.09845,0.11655,1.0
HOU,7.5,0.785,0.215,0.0,1.0
HOU,8.0,0.60995,0.215,0.17505,1.0
HOU,8.5,0.60995,0.39005,0.0,1.0
HOU,9.0,0.40645,0.39005,0.2035,1.0
HOU,9.5,0.40645,0.59355,0.0,1.0
HOU,10.0,0.23085,0.59355,0.1756,1.0
HOU,10.5,0.23085,0.76915,0.0,1.0
HOU,11.0,0.1034,0.76915,0.12745,1.0
HOU,11.5,0.1034,0.8966,0.0,1.0
HOU,12.0,0.03795,0.8966,0.06545,1.0
HOU,12.5,0.03795,0.96205,0.0,1.0
HOU,13.0,0.0096,0.96205,0.02835,1.0
HOU,13.5,0.0096,0.9904,0.0,1.0
HOU,14.0,0.0017,0.9904,0.0079,1.0
HOU,14.5,0.0017,0.9983,0.0,1.0
HOU,15.0,0.00045,0.9983,0.00125,0.9999999999999999
HOU,15.5,0.00045,0.99955,0.0,1.0
